label_name	head	relation	tail	response
banjo	banjo	is instance of	musical instrument	Yes.
drinking or sipping	drinking or sipping	occurs in	cafe or restaurant	Yes.
train	train	event composed of	whistle	Yes.
vehicle passing by	vehicle passing by	belongs to class	road vehicle	Yes.
timpani	timpani	described by	a percussion instrument with a deep, resonant sound	Yes.
drum	drum	indicates	beat	Yes.
whimpering	whimpering	has pitch	low	Yes.
animal	animal	has subtype	dinosaurs bellowing	Yes.
speech	speech	has children	chatter	Yes.
rain	rain	has subtype	rainy weather	Yes.
scratch	scratch	localized in	house	Yes.
large room or hall	large room or hall	generated by	echo	Yes.
elephant trumpeting	elephant trumpeting	caused by	elephant call	Yes.
shouting	shouting	has children	bellow	Yes.
vocal music	vocal music	belongs to class	music genre	Yes.
sound of things	sound of things	has subtype	frying	Yes.
conversation	conversation	has subtype	verbal communication	Yes.
afrobeat	afrobeat	described by	a type of music that is characterized by its use of traditional african instruments	Yes.
cat	cat	has subtype	cat hissing	Yes.
sheep	sheep	can be heard in	pasture	Yes.
zither	zither	has timbre	stringed	Yes.
announcement	announcement	occurs in	bus station	Yes.
door	door	responds to	lock unlocking	Yes.
crying	crying	emitted by	mother	Yes.
car brake	car brake	belongs to class	road vehicle	Yes.
other sourceless	other sourceless	has subtype	sine wave	Yes.
trumpet	trumpet	is instance of	instrument	Yes.
cello	cello	emitted by	musician	Yes.
horse snort	horse snort	belongs to class	horse	Yes.
children playing	children playing	has parent	child voice	Yes.
clarinet	clarinet	generated by	instrument	Yes.
doorbell	doorbell	emitted by	front door	Yes.
organ	organ	has timbre	piano-like	Yes.
liquid pouring	liquid pouring	has subtype	gush	Yes.
lullaby	lullaby	occurs in	cradlebabybox5	Yes.
tick-tock	tick-tock	has subtype	time keeping	Yes.
electronic organ	electronic organ	belongs to class	musical instrument	Yes.
crow caw	crow caw	belongs to class	animal	Yes.
car engine accelerating	car engine accelerating	occurs in	car interior	Yes.
harp	harp	occurs in	music event	Yes.
train	train	can be heard in	crossing	Yes.
ship	ship	localized in	harbor	Yes.
marimba and xylophone	marimba and xylophone	has timbre	metallic	Yes.
radio	radio	associated with environment	broadcast center	Yes.
clunk	clunk	follows	metal on metal device	Yes.
female screaming	female screaming	indicates	distress	Yes.
mechanisms	mechanisms	has subtype	tick-tock	Yes.
chimpanzee	chimpanzee	warns about	predator	Yes.
cat meowing	cat meowing	localized in	kitchen	Yes.
vehicle	vehicle	originates from	parking lot entrance	Yes.
wild animal	wild animal	has subtype	francolin calling	Yes.
wind blowing	wind blowing	has children	tornado	Yes.
musical instrument	musical instrument	scene contains	piano	Yes.
female screaming	female screaming	produced during	emotional outburst	Yes.
vehicle passing by	vehicle passing by	belongs to class	things	Yes.
music	music	has subtype	electronica	Yes.
people cheering	people cheering	emitted by	athletes	Yes.
medium engine (mid frequency)	medium engine (mid frequency)	occurs in	residential area	Yes.
thunk	thunk	belongs to class	miscellaneous sources	Yes.
power tool	power tool	has children	dental drill	Yes.
train	train	occurs in	tunnel exit	Yes.
clang	clang	generated by	machinery	Yes.
liquid	liquid	temporal component of	splashing	Yes.
clapping	clapping	emitted by	audience	Yes.
hand saw	hand saw	generated by	lumberjack	Yes.
dial tone	dial tone	has sibling	telephone	Yes.
dishwasher	dishwasher	has sibling	kitchen sounds	Yes.
lullaby	lullaby	scene contains	soothing voice	Yes.
hum	hum	temporal component of	humming	Yes.
pulleys	pulleys	occurs in	construction site	Yes.
percussion	percussion	has children	tambourine	Yes.
bowed string instrument	bowed string instrument	has children	double bass	Yes.
bird chirping	bird chirping	has children	wood thrush calling	Yes.
door slam	door slam	temporal component of	closing	Yes.
cello	cello	co-occurs with	classical music	Yes.
clock tick	clock tick	warns about	time	Yes.
car alarm ringing	car alarm ringing	caused by	car theft	Yes.
clang	clang	part of scene	amusement park ride	Yes.
guiro	guiro	is a type of	percussion instrument	Yes.
car	car	co-occurs with	traffic noise	Yes.
object fall	object fall	belongs to class	domestic sounds	Yes.
cymbal	cymbal	overlaps with	drumming	Yes.
buzzer ringing	buzzer ringing	emitted by	device	Yes.
basketball bounce	basketball bounce	generated by	player	Yes.
caterwaul	caterwaul	described by	a bird call used to warn of danger	Yes.
motorcycle engine accelerating	motorcycle engine accelerating	belongs to class	vehicle	Yes.
engine	engine	occurs in	farm	Yes.
melody	melody	generated by	musician	Yes.
washing dishes	washing dishes	overlaps with	running water	Yes.
clang	clang	has parent	brief tone	Yes.
farm animal	farm animal	has subtype	duck quack	Yes.
choir singing	choir singing	has sibling	singing	Yes.
music	music	has subtype	clarinet	Yes.
liquid	liquid	belongs to class	things	Yes.
crockery breaking and smashing	crockery breaking and smashing	has sibling	kitchen sounds	Yes.
banjo	banjo	part of scene	music performance	Yes.
animal	animal	has subtype	neigh whinny	Yes.
harmonica	harmonica	is sound of	musician	Yes.
cutlery or dishes	cutlery or dishes	has subtype	knife	Yes.
radio	radio	can be heard in	living room	Yes.
timpani	timpani	has duration	medium	Yes.
large vehicle	large vehicle	occurs in	park	Yes.
crowd	crowd	associated with event	cultural event	Yes.
christmas music	christmas music	performed by	orchestra	Yes.
timpani	timpani	is sound of	orchestra	Yes.
bongos	bongos	indicates	rhythm	Yes.
music genre	music genre	has children	rock music	Yes.
guiro	guiro	associated with environment	celebration	Yes.
kitchen sounds	kitchen sounds	overlaps with	coffee maker gurgling	Yes.
orchestra	orchestra	is a type of	chamber orchestra	Yes.
truck	truck	co-occurs with	delivery truck	Yes.
duck quack	duck quack	can be heard in	lake	Yes.
sound of things	sound of things	has subtype	lathe spinning	Yes.
large room or hall	large room or hall	generated by	ambience	Yes.
rustling leaves	rustling leaves	has parent	wind blowing	Yes.
fireworks	fireworks	is a type of	fireworks show	Yes.
trumpet	trumpet	part of scene	circus performance	Yes.
waterfall	waterfall	event composed of	spraying water	Yes.
explosion	explosion	occurs in	battlefield	Yes.
angry music	angry music	has parent	music mood	Yes.
basketball bounce	basketball bounce	has sibling	specific impact	Yes.
zither	zither	is a type of	musical instrument	Yes.
error signal	error signal	has sibling	alarm signal	Yes.
rock drill	rock drill	belongs to class	things	Yes.
sitar	sitar	has pitch	low	Yes.
engine	engine	belongs to class	things	Yes.
zither	zither	has parent	plucked string instrument	Yes.
rimshot	rimshot	part of scene	theater performance	Yes.
dial tone	dial tone	overlaps with	phone ring	Yes.
snorting	snorting	is a type of	animal	Yes.
domestic sounds	domestic sounds	has subtype	frying	Yes.
lock	lock	overlaps with	door closing	Yes.
crash cymbal	crash cymbal	has parent	cymbal	Yes.
walking	walking	responds to	footsteps on dirt	Yes.
ringtone	ringtone	responds to	incoming call	Yes.
bird squawk	bird squawk	has parent	bird	Yes.
plastic crinkling	plastic crinkling	has sibling	source-ambiguous	Yes.
ringtone	ringtone	can be heard in	phone	Yes.
electronica	electronica	scene contains	music playing	Yes.
recording	recording	temporal component of	music	Yes.
nose blowing	nose blowing	occurs in	bus interior	Yes.
car alarm ringing	car alarm ringing	perceived as	intrusive	Yes.
truck compressor	truck compressor	belongs to class	truck	Yes.
foghorn ringing	foghorn ringing	occurs in	traffic intersection	Yes.
car skidding	car skidding	localized in	parking lot	Yes.
door	door	occurs in	office	Yes.
flap	flap	has sibling	generic impact sounds	Yes.
motorcycle	motorcycle	occurs in	busy street	Yes.
car wheel rolling	car wheel rolling	generated by	road	Yes.
raindrop	raindrop	indicates	precipitation	Yes.
glockenspiel	glockenspiel	scene contains	concert stage	Yes.
tick-tock	tick-tock	is a type of	clock	Yes.
fire	fire	associated with environment	fireworks display	Yes.
telephone dialing	telephone dialing	precedes	making a call	Yes.
animal	animal	occurs in	park	Yes.
melody	melody	belongs to class	music	Yes.
synthesizer	synthesizer	has sibling	keyboard (musical)	Yes.
ukulele	ukulele	localized in	music studio	Yes.
double bass	double bass	generated by	musician	Yes.
wind noise (microphone)	wind noise (microphone)	belongs to class	equipment	Yes.
bagpipes	bagpipes	part of scene	scottish culture	Yes.
microphone	microphone	invites action	provides input to the listener.	Yes.
chicken crowing	chicken crowing	emitted by	rooster	Yes.
marching	marching	part of scene	demonstration	Yes.
gong	gong	occurs in	church bell	Yes.
buzzer ringing	buzzer ringing	is a type of	alert	Yes.
digestive	digestive	described by	a process of breaking down food in the stomach	Yes.
water	water	has subtype	rain	Yes.
canidae dogs wolves	canidae dogs wolves	performed by	wildlife	Yes.
sound of things	sound of things	has subtype	furniture dragging	Yes.
siren ringing	siren ringing	has parent	alarm signal	Yes.
a capella	a capella	has sibling	vocal music	Yes.
outdoor environment	outdoor environment	occurs in	park	Yes.
mellotron	mellotron	described by	an electronic instrument that produces a wide range of	Yes.
television	television	occurs in	home	Yes.
bass drum	bass drum	has timbre	percussive	Yes.
squeal	squeal	responds to	car alarm	Yes.
humming	humming	is a type of	musical	Yes.
trombone	trombone	part of scene	street performance	Yes.
chatter	chatter	produced during	conversation	Yes.
clavinet	clavinet	has timbre	percussive	Yes.
percussion	percussion	used for	dance	Yes.
beat	beat	event composed of	drum	Yes.
child singing	child singing	produced during	karaoke	Yes.
marching	marching	localized in	parade	Yes.
sympathetic singing	sympathetic singing	belongs to class	human sounds	Yes.
engine idling	engine idling	is sound of	motorcycle engine	Yes.
typewriter	typewriter	generated by	typing	Yes.
duck	duck	has children	duck quack	Yes.
steel guitar or slide guitar	steel guitar or slide guitar	associated with event	performing	Yes.
female singing	female singing	localized in	church	Yes.
cymbal	cymbal	overlaps with	percussion	Yes.
lawn mower	lawn mower	produced during	landscaping	Yes.
drum	drum	associated with environment	music recording facility	Yes.
yelling	yelling	occurs in	construction site	Yes.
mechanisms	mechanisms	has children	mechanical fan	Yes.
steel guitar or slide guitar	steel guitar or slide guitar	has parent	playing guitar	Yes.
engine	engine	has subtype	engine starting	Yes.
human sounds	human sounds	has subtype	human non-speech sounds	Yes.
wildfire	wildfire	has sibling	fire	Yes.
gunshot	gunshot	localized in	war zone	Yes.
children shouting	children shouting	belongs to class	human voice	Yes.
percussion	percussion	is sound of	drum	Yes.
sympathetic singing	sympathetic singing	has duration	medium	Yes.
alarm signal	alarm signal	has subtype	siren ringing	Yes.
a capella	a capella	belongs to class	singing	Yes.
heavy engine (low frequency)	heavy engine (low frequency)	has children	truck engine idling	Yes.
music genre	music genre	has children	africa music	Yes.
soprano saxophone	soprano saxophone	belongs to class	saxophone	Yes.
fire alarm ringing	fire alarm ringing	occurs in	bus station	Yes.
organ	organ	is a type of	string instrument	Yes.
engine	engine	occurs in	busy street	Yes.
talking	talking	can be heard in	cafeteria	Yes.
cowbell	cowbell	linked to visual	musical instrument used in jazz band	Yes.
water domestic	water domestic	occurs in	bathroom	Yes.
crunch	crunch	can be heard in	playground	Yes.
insect buzz	insect buzz	event composed of	wing flapping	Yes.
sound of things	sound of things	has subtype	shopping cart	Yes.
electric train	electric train	precedes	train arrival	Yes.
sanding	sanding	has parent	tools	Yes.
door knock	door knock	generated by	person	Yes.
chimpanzee	chimpanzee	associated with environment	jungle	Yes.
kitchen sounds	kitchen sounds	has subtype	washing dishes	Yes.
insect	insect	is instance of	arthropod	Yes.
flute	flute	occurs in	music theater	Yes.
cymbal	cymbal	indicates	musical instrument	Yes.
animal	animal	has subtype	donkey	Yes.
fart	fart	described by	a sound made by the digestive system during the process of digestion	Yes.
animal	animal	has subtype	chipmunk	Yes.
surface contact	surface contact	has children	grind	Yes.
drum	drum	performed by	drummer	Yes.
vehicle	vehicle	has subtype	motorcycle brake	Yes.
ice cream truck	ice cream truck	occurs in	city center	Yes.
dog howling	dog howling	belongs to class	dog	Yes.
slosh	slosh	has sibling	water splashing	Yes.
vibration	vibration	has sibling	noise	Yes.
telephone	telephone	described by	a device used for communication over the mobile network	Yes.
marimba and xylophone	marimba and xylophone	has sibling	percussion	Yes.
elk bugling	elk bugling	precedes	elk hunting season	Yes.
sound of things	sound of things	has subtype	engine	Yes.
stationary music	stationary music	can be heard in	living room	Yes.
car alarm ringing	car alarm ringing	indicates	car theft	Yes.
stir	stir	belongs to class	things	Yes.
screaming	screaming	localized in	movie theater	Yes.
cart	cart	has parent	non-motorized land vehicle	Yes.
door knock	door knock	emitted by	delivery person	Yes.
chinchilla barking	chinchilla barking	event composed of	chinchilla vocalizations	Yes.
clicking	clicking	belongs to class	onomatopoeia	Yes.
bongos	bongos	is a type of	percussion instrument	Yes.
traffic noise	traffic noise	belongs to class	outdoor urban or manmade	Yes.
door domestic	door domestic	perceived as	opening	Yes.
guitar strumming	guitar strumming	belongs to class	playing guitar	Yes.
car wheel rolling	car wheel rolling	belongs to class	wheel rolling	Yes.
tuning fork	tuning fork	has sibling	bell ringing	Yes.
water vehicle	water vehicle	has children	rowboat canoe kayak	Yes.
trombone	trombone	overlaps with	marching band music	Yes.
metro door opens or closes	metro door opens or closes	belongs to class	things	Yes.
crushing	crushing	associated with environment	oil drilling equipment yard	Yes.
duct tape	duct tape	occurs in	office	Yes.
domestic sounds	domestic sounds	has subtype	typewriter	Yes.
flute	flute	originates from	instrument	Yes.
firecracker	firecracker	part of scene	celebration	Yes.
hammering	hammering	precedes	carpentry	Yes.
clarinet	clarinet	occurs in	jazz club	Yes.
animal	animal	has subtype	bee or wasp	Yes.
dial tone	dial tone	occurs in	office	Yes.
sitar	sitar	is a type of	indian musical instrument	Yes.
crowd	crowd	is a type of	event	Yes.
chicken or rooster	chicken or rooster	belongs to class	animal	Yes.
whistle	whistle	event composed of	blow a whistle to signal	Yes.
drum	drum	has sibling	percussion	Yes.
alarm signal	alarm signal	has children	foghorn ringing	Yes.
kitchen sounds	kitchen sounds	has subtype	chopping food	Yes.
snoring	snoring	described by	a repetitive nasal sound during sleep	Yes.
wind or woodwind instrument	wind or woodwind instrument	scene contains	woodwind	Yes.
clang	clang	can be heard in	metal shop	Yes.
talking	talking	emitted by	speaker voice	Yes.
rustle	rustle	occurs in	wind	Yes.
source-ambiguous sounds	source-ambiguous sounds	has subtype	smash or crash	Yes.
banjo	banjo	emitted by	instrument	Yes.
truck	truck	occurs in	quiet street	Yes.
frying	frying	belongs to class	domestic sounds	Yes.
singing	singing	co-occurs with	singing contest	Yes.
generic impact sounds	generic impact sounds	has children	whack or thwack	Yes.
vehicle siren ringing	vehicle siren ringing	occurs in	construction site	Yes.
ship	ship	part of scene	shipbuilding yard	Yes.
opera	opera	has subtype	opera performance cast	Yes.
electric guitar	electric guitar	belongs to class	plucked string instrument	Yes.
shot football	shot football	occurs in	stadium	Yes.
popping popcorn	popping popcorn	has sibling	things	Yes.
sidetone	sidetone	has sibling	background noise	Yes.
castanets	castanets	part of scene	theater performance	Yes.
rub	rub	is a type of	stringed instrument	Yes.
melody	melody	has sibling	musical concepts	Yes.
child babbling	child babbling	occurs in	bus station	Yes.
foghorn ringing	foghorn ringing	warns about	impending danger	Yes.
waterfall	waterfall	follows	waterfall thunderstorm thunderclap	Yes.
water tap or faucet	water tap or faucet	belongs to class	water domestic	Yes.
toothbrush	toothbrush	occurs in	home	Yes.
sneezing	sneezing	described by	a sudden, short burst of air through the nose	Yes.
oboe	oboe	has subtype	instrument	Yes.
sniggering	sniggering	belongs to class	human voice	Yes.
wind chime	wind chime	belongs to class	musical instrument	Yes.
engine	engine	associated with environment	factory	Yes.
sneezing	sneezing	occurs in	bus interior	Yes.
bassline	bassline	has parent	musical concepts	Yes.
oboe	oboe	has parent	wind or woodwind instrument	Yes.
woodpecker	woodpecker	is sound of	hammer	Yes.
singing bowl	singing bowl	event composed of	vibrating object	Yes.
footsteps	footsteps	occurs in	library	Yes.
music	music	has subtype	gong	Yes.
cow	cow	can be heard in	farm	Yes.
shofar	shofar	part of scene	synagogue	Yes.
guiro	guiro	perceived as	percussion instrument	Yes.
bicycle	bicycle	has sibling	non-motorized land vehicle	Yes.
crunch	crunch	associated with environment	dirt	Yes.
drum	drum	has subtype	drum roll	Yes.
road vehicle	road vehicle	originates from	motel parking lot	Yes.
change bell ringing	change bell ringing	warns about	warning	Yes.
mouse squeaking	mouse squeaking	has sibling	mouse	Yes.
shower	shower	described by	a water-based activity for cleaning and relaxation	Yes.
vehicle	vehicle	has subtype	electric rotor drone	Yes.
lip smacking	lip smacking	occurs in	metro station	Yes.
sonar	sonar	described by	a high-frequency sound used for detecting underwater objects	Yes.
washing dishes	washing dishes	has sibling	dishes or pots or pans	Yes.
scissors	scissors	temporal component of	snipping	Yes.
domestic sounds	domestic sounds	has children	hook and loop fastener	Yes.
dog bowing	dog bowing	belongs to class	animal	Yes.
chimpanzee	chimpanzee	associated with event	grooming	Yes.
human activities	human activities	has children	playing badminton	Yes.
dishwasher	dishwasher	belongs to class	domestic sounds	Yes.
air conditioning	air conditioning	occurs in	kid game hall	Yes.
pizzicato	pizzicato	transcribed as	short, staccato notes	Yes.
door	door	occurs in	metro station	Yes.
rope skipping	rope skipping	occurs in	pedestrian street	Yes.
telephone vibrating	telephone vibrating	belongs to class	things	Yes.
sound of things	sound of things	has children	vehicle	Yes.
buzzer ringing	buzzer ringing	emitted by	alarm	Yes.
vehicle engine	vehicle engine	has subtype	car engine accelerating	Yes.
music	music	has subtype	soprano saxophone	Yes.
chuckling and chortling	chuckling and chortling	occurs in	cafe or restaurant	Yes.
door slam	door slam	has parent	door opens or closes	Yes.
mosquito	mosquito	has subtype	hum	Yes.
duck	duck	localized in	river	Yes.
human voice	human voice	has subtype	whispering	Yes.
children shouting	children shouting	occurs in	home	Yes.
cello	cello	event composed of	solo performance	Yes.
lawn mower	lawn mower	belongs to class	things	Yes.
horse	horse	can be heard in	race track	Yes.
djembe	djembe	perceived as	rhythmic	Yes.
music	music	has children	music role	Yes.
children singing	children singing	emitted by	church	Yes.
rattle (instrument)	rattle (instrument)	has children	maraca	Yes.
rain	rain	has subtype	rain on surface	Yes.
rain	rain	has subtype	rainy weather condition	Yes.
dubstep	dubstep	event composed of	rhythmic beats	Yes.
music	music	has subtype	funny music	Yes.
human non-speech sounds	human non-speech sounds	has children	heart sounds heartbeat	Yes.
finger snapping	finger snapping	has duration	short	Yes.
boing	boing	follows	weather alert siren	Yes.
outdoor environment	outdoor environment	occurs in	waterfront	Yes.
smoke extractor	smoke extractor	occurs in	kitchen	Yes.
giggling	giggling	localized in	playground room	Yes.
sitar	sitar	responds to	music performance	Yes.
bus engine accelerating	bus engine accelerating	belongs to class	vehicle	Yes.
male screaming	male screaming	belongs to class	human non-speech sounds	Yes.
chimpanzee	chimpanzee	part of scene	jungle	Yes.
door slam	door slam	indicates	opening the door	Yes.
plucked string instrument	plucked string instrument	has parent	musical instrument	Yes.
announcement	announcement	generated by	speaker	Yes.
ding	ding	occurs in	room	Yes.
coffee machine	coffee machine	can be heard in	office	Yes.
cutlery or dishes	cutlery or dishes	occurs in	kitchen	Yes.
clapping	clapping	occurs in	sports stadium	Yes.
cow	cow	occurs in	meadow	Yes.
engine	engine	has children	vehicle engine	Yes.
cat	cat	has children	caterwaul	Yes.
air conditioner	air conditioner	occurs in	swimming pool	Yes.
crow	crow	can be heard in	zoo	Yes.
train whistle	train whistle	scene contains	whistle	Yes.
throat cleaning	throat cleaning	has sibling	human non-speech sounds	Yes.
sheep	sheep	has parent	farm animal	Yes.
frog croak	frog croak	belongs to class	animal	Yes.
distortion	distortion	has sibling	background noise	Yes.
harmonica	harmonica	part of scene	music instrument	Yes.
harmonic	harmonic	can be heard in	music theater	Yes.
engine	engine	has subtype	motorcycle engine accelerating	Yes.
frog	frog	can be heard in	forest	Yes.
vehicle	vehicle	responds to	traffic congestion	Yes.
coughing	coughing	has sibling	human non-speech sounds	Yes.
flute	flute	scene contains	music rehearsal	Yes.
human group actions	human group actions	has children	booing	Yes.
tick-tock	tick-tock	precedes	time keeping	Yes.
running	running	precedes	starting a race	Yes.
sound of things	sound of things	has children	machinery impact	Yes.
bell	bell	scene contains	alarm bell ringing	Yes.
flute	flute	belongs to class	musical instrument	Yes.
bassoon	bassoon	originates from	musician	Yes.
pumping water	pumping water	belongs to class	liquid	Yes.
banjo	banjo	scene contains	instrument made with sustainable materials	Yes.
accordion	accordion	belongs to class	music	Yes.
artillery fire	artillery fire	has sibling	non-machinery impact	Yes.
chainsaw	chainsaw	belongs to class	tools	Yes.
can opening	can opening	generated by	can opener handle	Yes.
sound of things	sound of things	has subtype	wind chime	Yes.
generic impact sounds	generic impact sounds	has sibling	source-ambiguous	Yes.
distortion	distortion	has parent	background noise	Yes.
fireworks	fireworks	co-occurs with	celebration	Yes.
chopping wood	chopping wood	occurs in	park	Yes.
police radio chatter	police radio chatter	has parent	speech	Yes.
children music	children music	belongs to class	music genre	Yes.
vibraphone	vibraphone	co-occurs with	music performance	Yes.
sidetone	sidetone	associated with event	dishwasher	Yes.
steam	steam	belongs to class	natural sounds	Yes.
music	music	has subtype	church bell ringing	Yes.
cat	cat	is sound of	meowing	Yes.
rope skipping	rope skipping	has parent	human activities	Yes.
crunch	crunch	associated with environment	stone	Yes.
magpie calling	magpie calling	belongs to class	bird vocalization call or song	Yes.
pigeon cooing	pigeon cooing	belongs to class	animal	Yes.
maraca	maraca	belongs to class	music	Yes.
whimpering	whimpering	belongs to class	human sounds	Yes.
child voice	child voice	has subtype	child speaking	Yes.
mechanical fan	mechanical fan	temporal component of	ventilation system	Yes.
sitar	sitar	produces	melody	Yes.
human non-speech sounds	human non-speech sounds	has subtype	sniggering	Yes.
gong	gong	belongs to class	music	Yes.
house music	house music	part of scene	music lounge	Yes.
guitar tapping	guitar tapping	belongs to class	plucked string instrument	Yes.
engine	engine	has subtype	lawn mower	Yes.
human non-speech sounds	human non-speech sounds	has children	child babbling	Yes.
child babbling	child babbling	occurs in	cafe or restaurant	Yes.
oboe	oboe	produced during	orchestral performance	Yes.
horse snort	horse snort	emitted by	horse	Yes.
announcement jingle	announcement jingle	occurs in	bus station	Yes.
shouting	shouting	can be heard in	sports field	Yes.
bathroom sounds	bathroom sounds	has subtype	electric toothbrush	Yes.
bus brake	bus brake	caused by	emergency stop	Yes.
eating noodles	eating noodles	occurs in	kitchen	Yes.
spray	spray	has parent	liquid	Yes.
drum	drum	belongs to class	percussion	Yes.
keypress tone	keypress tone	has sibling	office sounds	Yes.
bagpipes	bagpipes	described by	a traditional scottish musical instrument	Yes.
knock	knock	occurs in	restaurant	Yes.
human sounds	human sounds	has children	human voice	Yes.
water tap or faucet	water tap or faucet	overlaps with	water splashing	Yes.
sound of things	sound of things	has subtype	liquid boiling	Yes.
percussion	percussion	has children	drum kit	Yes.
domestic sounds	domestic sounds	has subtype	shower	Yes.
thunderstorm	thunderstorm	localized in	thundercloud	Yes.
lions or tigers	lions or tigers	occurs in	savannah	Yes.
lawn mower	lawn mower	generated by	blade	Yes.
spray	spray	overlaps with	water splashing	Yes.
vibraphone	vibraphone	part of scene	world music festival	Yes.
smoke alarm	smoke alarm	occurs in	shopping mall	Yes.
flap	flap	described by	a sudden, sharp sound made by a bird's wings	Yes.
smoke alarm	smoke alarm	precedes	office	Yes.
road vehicle	road vehicle	occurs in	bus station	Yes.
harp	harp	has sibling	musical instrument	Yes.
duck	duck	part of scene	wetland	Yes.
microphone	microphone	perceived as	audio input device	Yes.
steel guitar or slide guitar	steel guitar or slide guitar	has duration	short	Yes.
shofar	shofar	overlaps with	prayer	Yes.
musical instrument	musical instrument	has subtype	soprano saxophone	Yes.
female speaking	female speaking	produced during	conversation	Yes.
footsteps	footsteps	produced during	hiking	Yes.
snare drum	snare drum	is a type of	drum set instrument	Yes.
sliding door	sliding door	responds to	opening	Yes.
squeak	squeak	associated with environment	squeaky shoes	Yes.
crushing	crushing	associated with environment	oil drilling platform	Yes.
harp	harp	has subtype	stringed instrument type	Yes.
human voice	human voice	has children	male screaming	Yes.
piano	piano	precedes	playing music	Yes.
crow	crow	produces	cawing	Yes.
insect	insect	has duration	short	Yes.
lullaby	lullaby	can be heard in	cradle	Yes.
male singing	male singing	localized in	nightclub	Yes.
grind	grind	can be heard in	construction site	Yes.
exciting music	exciting music	has sibling	music mood	Yes.
latin america music	latin america music	has subtype	kuduro music	Yes.
camera	camera	has subtype	single-lens reflex camera	Yes.
harmonica	harmonica	described by	a type of instrument used in improvisational music	Yes.
co detector	co detector	has parent	alarm signal	Yes.
drilling	drilling	has subtype	rotary	Yes.
wood thrush calling	wood thrush calling	event composed of	wood thrush vocalizations	Yes.
light engine (high frequency)	light engine (high frequency)	belongs to class	things	Yes.
jackhammer	jackhammer	event composed of	demolition	Yes.
bassoon	bassoon	is a type of	brass instrument	Yes.
telephone	telephone	belongs to class	communication device	Yes.
castanets	castanets	part of scene	festival	Yes.
train horn	train horn	performed by	train conductor	Yes.
beat	beat	localized in	concert stage	Yes.
warbler chirping	warbler chirping	is sound of	chirping	Yes.
announcement	announcement	localized in	stadium	Yes.
heart murmur	heart murmur	localized in	patient bed	Yes.
baby babbling	baby babbling	has parent	human voice	Yes.
motorcycle	motorcycle	used for	transportation	Yes.
dog bowing	dog bowing	belongs to class	dog	Yes.
elk bugling	elk bugling	has duration	short	Yes.
bus engine idling	bus engine idling	belongs to class	vehicle	Yes.
harmonica	harmonica	is instance of	brass instrument	Yes.
thunderstorm	thunderstorm	associated with environment	thunder	Yes.
